Source,Speaker,Mic,SignalType,Band,EDT,RT20,RT30,RT60,C50,C80,D50,D80
omnipower,1,1,WhiteNoise,250,5.95576157790767,1.79075041400405,1.65966665763774,1.65966665763774,-7.58426811707603,-6.51063092086116,14.8509138749511,18.2555590095943
omnipower,1,1,WhiteNoise,500,6.05424452072203,2.00901542423062,1.84176738216768,1.84176738216768,-9.40826978817801,-7.62905349092981,10.2814691032567,14.7209837339815
omnipower,1,1,WhiteNoise,1000,6.21472958221101,1.73170224624689,1.53152732755406,1.53152732755406,-11.6636402280878,-9.77667837247058,6.382530173086,9.52491606774872
omnipower,1,1,WhiteNoise,2000,6.38599457629665,1.59542667055161,1.54492482677101,1.54492482677101,-12.0257450509202,-10.1672626469477,5.90208545602913,8.77758973849329
omnipower,1,1,WhiteNoise,4000,6.24684643602284,1.58272971316841,1.50253206974558,1.50253206974558,-13.345806097633,-11.0499068171695,4.42354362528169,7.28079833235315
omnipower,1,1,WhiteNoise,8000,6.14286474477453,1.67206005933888,1.56710182325797,1.56710182325797,-12.5925838948204,-10.2854580750097,5.21758326547262,8.56210252377093
omnipower,1,2,Sine,50,1.05394409277647,0.845911810759995,0.743686569583546,0.743686569583546,3.63672419428984,5.72259179810318,69.7914537775704,78.8794703127959
omnipower,1,2,Sine,63,4.29005857508548,1.8129326173459,1.64672929210716,1.64672929210716,-2.84396500173147,-1.88212603198254,34.1898077794244,39.3320573839982
omnipower,1,2,Sine,80,7.45882066857682,3.30305741673715,3.20443478648086,3.20443478648086,-2.24210536387497,-1.38382497532209,37.3726287336048,42.1007841245218
omnipower,1,2,Sine,100,3.09006995233916,5.50665015156387,5.76476665858793,5.76476665858793,-7.70443631569195,-5.44756530139323,14.5044104154792,22.1948340915614
omnipower,1,2,Sine,125,4.21996432246183,10.4546353824582,9.27824619422734,9.27824619422734,-7.64932392637542,-6.321096224098,14.6624855395485,18.9158671113516
omnipower,1,2,Sine,160,1.23329240235357,11.962676659561,10.478519139381,10.478519139381,-1.12963733600174,2.76461226766749,43.5337009877531,65.3978937894942
omnipower,1,2,Sine,200,2.5336934970466,2.16611760665662,12.1742301942115,12.1742301942115,-8.44224928366506,-6.10003105981764,12.5220054842817,19.7089698106654
omnipower,1,2,Sine,250,2.968460193922,8.88749179902715,13.3583158389683,13.3583158389683,-6.62943493214495,-4.9130986664475,17.8508729700696,24.3924447025548
omnipower,1,2,Sine,315,11.0324501621822,24.9840122014404,18.984245609648,18.984245609648,-3.60703791360587,-3.43214053585955,30.3528540163754,31.2108644866436
omnipower,1,2,Sine,400,2.97849640590135,0.669052058951397,19.3384906283678,19.3384906283678,-8.11533105402978,-5.97451515971899,13.3701013907965,20.17032311864
omnipower,1,2,Sine,500,0.501627021338448,28.7994528043291,23.637247653069,23.637247653069,4.59976644408344,9.72138865215671,74.2525277673669,90.3648061612306
omnipower,1,2,Sine,630,2.77792082894637,0.696817527961007,0.660895324917788,0.660895324917788,-10.0591710127369,-7.12784062712009,8.97893469487623,16.2295596252396
omnipower,1,2,Sine,800,0.395783825891518,0.749200270137346,0.849053541858063,0.849053541858063,6.10053293654801,12.8792366636112,80.2928588305357,95.0993479020358
omnipower,1,2,Sine,1000,2.77310860227482,0.690536559743066,1.26299593920754,1.26299593920754,-8.13102522349491,-5.84199356679459,13.3283008822336,20.6661347769449
omnipower,1,2,Sine,1250,3.33503960331714,1.2728018075493,3.21691507168399,3.21691507168399,-8.58061350654935,-7.12937365317593,12.177162808645,16.2247610646048
omnipower,1,2,Sine,1600,2.88450740501315,0.8263441230418,5.0719078590244,5.0719078590244,-8.92670202197527,-6.49904565676063,11.3502936869331,18.2954011496151
omnipower,1,2,Sine,2000,0.711963345386423,11.7624137448451,9.52181679303411,9.52181679303411,0.315698064851003,4.7098586226414,51.8165043252118,74.7341794064972
omnipower,1,2,Sine,2500,2.94064441200511,3.54692313615951,10.9032064372807,10.9032064372807,-8.98570776011504,-7.15401783767974,11.2143017676383,16.1477786736397
omnipower,1,2,Sine,3150,14.8829878411378,16.2120210473296,15.0256166768502,15.0256166768502,1.4619475368114,4.31797062840638,58.3370671992487,72.9926456655884
omnipower,1,2,Sine,4000,0.639180271906719,19.886368706431,16.9223165553654,16.9223165553654,2.78208625848766,6.96501453294179,65.4888860645104,83.2542385641331
omnipower,1,2,Sine,5000,32.6349103761711,18.0245330784219,17.3562185295182,17.3562185295182,0.064875065367338,0.65638498099903,50.3734439517372,53.771279542255
omnipower,1,2,Sine,6300,40.3130033444216,23.7532243550167,22.1569452514337,22.1569452514337,4.31879202418967,5.84887866463063,72.9963739618756,79.3598453737311
omnipower,1,2,Sine,8000,0.977820673809694,0.246977901097509,0.233341436533686,0.233341436533686,-2.88103079385721,0.468566986819104,33.9980334212307,52.6946749385685
omnipower,1,2,Sine,10000,1.16509682766056,0.309764697240977,0.237225208878736,0.237225208878736,-4.26708323151531,-0.519106933531049,27.2389624133292,47.0153329645708
