Source,Speaker,SignalType,Band,GroupCount,mean_EDT,median_EDT,min_EDT,max_EDT,mean_RT20,median_RT20,min_RT20,max_RT20,mean_RT30,median_RT30,min_RT30,max_RT30,mean_RT60,median_RT60,min_RT60,max_RT60,mean_C50,median_C50,min_C50,max_C50,mean_C80,median_C80,min_C80,max_C80,mean_D50,median_D50,min_D50,max_D50,mean_D80,median_D80,min_D80,max_D80
omnipower,1,Sine,6300,8,27.9725489401972,33.9381962043147,1.51098582892442,40.3130033444216,19.6639248401051,23.0480847030048,10.1211240716663,28.9699617085606,17.6652790093453,21.5764165152468,9.33209774139852,22.1569452514337,17.6652790093453,21.5764165152468,9.33209774139852,22.1569452514337,-1.45610395321757,-1.49429092278829,-7.1788070545462,4.31879202418967,0.803103953370011,0.992814200072381,-4.74742209828066,5.84887866463063,43.1931630479609,41.5014387337069,16.0706410388042,72.9963739618756,53.8135776569477,55.1560948087186,25.1028522221491,79.3598453737311
omnipower,1,Sine,8000,8,1.05021270085226,0.949063153870843,0.118392156027915,3.00453560400327,0.337689742889635,0.247905969543876,0.0300668846293883,1.34593559871466,0.311272704453678,0.234439207218634,0.0289412772511737,1.20624379108191,0.311272704453678,0.234439207218634,0.0289412772511737,1.20624379108191,21.4186620381216,-1.9668122098221,-6.19262722035082,181.037408410186,68.2513366118206,1.21950588027288,-3.14695484548133,184.939599685585,49.9385537859866,38.9841526938861,19.3737517094529,100,66.3924537755069,56.9234052179471,32.6377949942599,100
omnipower,1,Sine,10000,8,4.68013385761523,3.18257554703592,0.975064504537188,20.8674811434842,1.16654775120751,0.956152252082631,0.309764697240977,3.62446533225478,1.08829332598438,0.872657147726911,0.237225208878736,3.45080385760528,1.08829332598438,0.872657147726911,0.237225208878736,3.45080385760528,-6.83070826503338,-8.75032865935124,-12.7221617442016,1.25500186507463,-4.44526241308291,-6.84032107871939,-11.9377488870829,3.84562358378783,21.445613947115,11.7821676345005,5.07198793471497,57.1745142845957,31.0214522298089,17.1653549091347,6.01562517521341,70.7958085052331
omnipower,1,Sine,12500,8,8.4581951759001,6.14172679781481,2.97704676806484,29.7151254741745,3.08324494452767,2.65236884610089,1.41246290311958,7.94218136018274,2.8957697673739,2.4818093067058,1.33027404361759,7.49907456619183,2.8957697673739,2.4818093067058,1.33027404361759,7.49907456619183,-11.2034405747445,-10.4624896941262,-19.0343976329108,-6.97619698126435,-9.10393611832932,-8.54013737183313,-17.1952147595898,-4.48549911295257,8.47864704261363,8.25475175707346,1.2335862539799,16.7098946964827,12.9844514384513,12.3358882882496,1.87185461633979,26.2536913605192
omnipower,1,Sine,16000,8,3.35701281762917,3.89263780329892,0.806038541829309,5.10982649045974,0.734760190933132,0.81733763752396,0.409016943507131,0.972896827780532,0.626027949302265,0.703690938962829,0.371418608465427,0.778777014628578,0.626027949302265,0.703690938962829,0.371418608465427,0.778777014628578,-8.83589746410201,-9.76137833364594,-11.8075435984971,-1.43823301342565,-6.33811430722196,-7.4854282189193,-9.73679322874952,2.45626620385152,13.5539735503542,9.5994245659615,6.1873815515261,41.7957092940259,21.2365500330632,15.1912813744866,9.60435461634225,63.7741779796776
omnipower,1,Sine,20000,8,1.57225062870092,1.60990135770272,1.09758681478893,2.04064474983727,1.38960229749383,1.20398887777204,0.948297892525313,2.82527952487874,1.7191216191581,1.82775315320294,0.921917194123877,2.39083266100493,1.7191216191581,1.82775315320294,0.921917194123877,2.39083266100493,-3.54940470089868,-3.97713541748645,-5.20259530569531,-1.46404320628196,-0.597406179327938,-0.941645427006932,-2.33729484171654,1.35482269403535,30.9829316994432,28.5874130163385,23.1841554131539,41.651205031143,46.6150736702602,44.6112768915708,36.8610590588885,57.7363469404066
omnipower,1,WhiteNoise,125,8,6.44326842659718,5.95522302909911,1.76534557661676,10.3024541307617,3.1057735949586,2.79297283230144,0.251822265596468,5.82160580787157,2.81740433574198,2.52416873680037,0.222265439402544,5.18009409801109,2.81740433574198,2.52416873680037,0.222265439402544,5.18009409801109,2.700603649168,3.17722532392211,-1.60950081583969,6.00693678833306,3.0067102180565,3.32370067275212,-1.43680279030323,6.85325251621412,64.3628057163468,67.4993661339829,40.8395744292081,79.9496156755431,65.7788655428454,68.2271253907566,41.8037208692513,82.8923877510028
omnipower,1,WhiteNoise,250,8,4.89634022868507,5.2426813066088,1.01140928284756,7.44185363979735,1.52547922669756,1.79832490602619,0.526844876469531,2.01892394932491,1.3697293755487,1.53904906600361,0.476151534516107,1.91164564967066,1.3697293755487,1.53904906600361,0.476151534516107,1.91164564967066,-6.91011515660049,-6.7034783032814,-11.9905773139106,1.76560493503137,-5.46889553555782,-5.28716241462113,-9.83997776439527,3.03523063423224,20.7457061584949,17.7950115694984,5.94721872821663,60.0259280499276,25.3168596563316,23.2162654913471,9.40005035081528,66.7941110655422
omnipower,1,WhiteNoise,500,8,4.81602567092077,5.08928718861143,1.27330340705207,7.41273499221157,1.55415505490009,1.63078087849987,0.343101977452247,2.42918549181672,1.38659270717186,1.44716585763602,0.313676988265184,2.11243111976432,1.38659270717186,1.44716585763602,0.313676988265184,2.11243111976432,-9.52570181977913,-9.92276682580992,-12.5672886002947,-2.847009259447,-7.77235627118656,-7.6382851805402,-11.7657728802144,-1.38967522952732,11.7190491149791,9.26263375732748,5.24646249677184,34.174037522197,16.187490863338,14.6943382040154,6.24344584807506,42.0679513928564
omnipower,1,WhiteNoise,1000,8,4.98192174921349,5.07141124274012,1.32066352922371,7.76664078377889,1.33391963008968,1.49382000230961,0.294478763244196,2.01705235516596,1.21989534902694,1.38123069325457,0.277559263325363,1.85387022771216,1.21989534902694,1.38123069325457,0.277559263325363,1.85387022771216,-10.5863023454065,-11.2220482971965,-13.8823834418109,-4.74305968973299,-8.62449120082799,-9.47056033490828,-11.9295921210555,-2.02945789164407,9.49001298438018,7.04671265492548,3.92962529258825,25.1217425267843,14.0305415064553,10.1679713273226,6.02625262127626,38.5255508282526
