Method;Speaker;Microphone;Frequency in Hz;EDT in s;RT10 in s;RT20 in s;RT30 in s;RT60 in s;C50 in dB;C80 in dB;D50;D80
MLS;1;3;16000;NaN;NaN;NaN;NaN;NaN;5.047046803;7.693485444;0.76171871;0.85464293
MLS;1;3;20000;NaN;NaN;NaN;NaN;NaN;0.814215487;2.32491282;0.546733207;0.630725613
MLS;1;4;50;NaN;NaN;NaN;NaN;NaN;-10.25386165;-8.108212357;0.086192332;0.133890981
MLS;1;4;63;0.147468572;NaN;NaN;NaN;NaN;3.790326376;5.898104089;0.705318612;0.795448878
MLS;1;4;80;0.079242521;NaN;NaN;NaN;NaN;4.895317337;9.785579902;0.755319669;0.904927325
MLS;1;4;100;NaN;3.6441729;NaN;NaN;NaN;1.762217616;3.129000262;0.600072116;0.672712473
MLS;1;4;125;NaN;NaN;NaN;NaN;NaN;3.374623923;4.184589112;0.685040926;0.723829462
MLS;1;4;160;0.065181811;NaN;NaN;NaN;NaN;5.250654634;11.12002106;0.770123363;0.928274388
MLS;1;4;200;0.059224945;NaN;NaN;NaN;NaN;7.942417752;11.495955;0.861619816;0.933828408
MLS;1;4;250;NaN;NaN;0.122421398;NaN;0.367264194;7.736349793;12.246535;0.855864763;0.943740106
MLS;1;4;315;NaN;0.111486341;NaN;NaN;NaN;6.974602569;9.040247102;0.832849951;0.889101282
MLS;1;4;400;0.044369511;NaN;0.177071242;NaN;0.531213725;10.22113671;14.02689288;0.913212318;0.96194085
MLS;1;4;500;0.091292076;0.095007013;0.227370333;NaN;0.682110998;4.866434674;9.144989579;0.754088495;0.891457084
MLS;1;4;630;NaN;0.113815537;0.212593903;NaN;0.63778171;6.917748648;10.94876447;0.831019578;0.925604128
MLS;1;4;800;0.094677861;NaN;0.217535407;NaN;0.65260622;4.970323597;10.34363483;0.758497431;0.915421919
MLS;1;4;1000;0.102936695;0.105612843;0.240457014;NaN;0.721371042;2.548565159;7.509317562;0.642637198;0.849295251
MLS;1;4;1250;0.080388945;0.120681599;0.257006086;NaN;0.771018257;6.270299764;8.819247668;0.80904085;0.883983587
MLS;1;4;1600;NaN;NaN;0.211688388;NaN;0.635065164;4.490652268;10.26893816;0.737692753;0.914080701
MLS;1;4;2000;0.095826581;0.103031427;0.225882902;NaN;0.677648706;3.811765949;8.253147705;0.706343624;0.869931981
MLS;1;4;2500;0.080851615;0.103843055;0.246976538;NaN;0.740929615;5.599765008;9.374681468;0.784044522;0.896469701
MLS;1;4;3150;0.069773068;0.107617056;0.262794927;NaN;0.788384782;6.152768935;10.08632985;0.804824864;0.910720429
MLS;1;4;4000;0.087087812;0.099764186;0.238876669;NaN;0.716630008;5.693649707;8.85852214;0.787682333;0.884907819
MLS;1;4;5000;0.088426382;0.095082392;0.22358255;NaN;0.67074765;5.467520417;8.558160722;0.778844115;0.877674399
MLS;1;4;6300;0.075457456;0.095889817;NaN;NaN;NaN;6.279490187;9.998472753;0.809367571;0.909061842
MLS;1;4;8000;0.053365965;0.068828329;NaN;NaN;NaN;8.749132409;13.11881943;0.882317556;0.95350145
MLS;1;4;10000;0.054249911;0.058533441;NaN;NaN;NaN;9.028249025;14.39654583;0.88882859;0.964937366
MLS;1;4;12500;0.052753497;0.046831757;NaN;NaN;NaN;9.141737056;15.14840189;0.891384597;0.970345791
MLS;1;4;16000;0.042504369;0.045280848;NaN;NaN;NaN;12.16940978;17.56752789;0.942789746;0.98279284
MLS;1;4;20000;0.039854051;0.049330535;NaN;NaN;NaN;12.17800452;16.40537829;0.942896395;0.977631475
