Method;Speaker;Microphone;Frequency in Hz;EDT in s;RT10 in s;RT20 in s;RT30 in s;RT60 in s;C50 in dB;C80 in dB;D50;D80
Sweep;1;3;8000;0.1047941;0.108842016;NaN;NaN;NaN;3.796933295;7.382435695;0.705634707;0.845517578
Sweep;1;3;10000;0.099716665;NaN;NaN;NaN;NaN;3.933504161;7.593221811;0.712124119;0.851751378
Sweep;1;3;12500;5.758818314;NaN;NaN;NaN;NaN;-1.669098346;-0.525137691;0.405084402;0.469807423
Sweep;1;3;16000;NaN;NaN;NaN;NaN;NaN;-13.24880135;-12.27906298;0.045189452;0.055863542
Sweep;1;3;20000;NaN;NaN;NaN;NaN;NaN;-17.44505962;-15.96577997;0.017690591;0.024692417
Sweep;1;4;50;4.312408824;NaN;NaN;NaN;NaN;-12.25218162;-11.39757028;0.056190901;0.067585276
Sweep;1;4;63;NaN;5.610843665;NaN;NaN;NaN;-0.505361299;1.788822446;0.470941846;0.60154136
Sweep;1;4;80;0.076250234;NaN;NaN;NaN;NaN;5.464403126;10.14709874;0.778720455;0.911851626
Sweep;1;4;100;NaN;NaN;NaN;NaN;NaN;3.962441989;5.908987882;0.713488161;0.795856342
Sweep;1;4;125;NaN;NaN;NaN;NaN;NaN;4.425188685;5.44573481;0.734765556;0.777978865
Sweep;1;4;160;0.064481162;NaN;NaN;NaN;NaN;5.400785429;11.29796082;0.776185995;0.930954945
Sweep;1;4;200;NaN;NaN;NaN;NaN;NaN;7.860670764;11.51711565;0.859360222;0.934128854
Sweep;1;4;250;NaN;NaN;0.12468132;NaN;0.374043959;7.148079425;11.76443051;0.838336982;0.937547446
Sweep;1;4;315;NaN;NaN;NaN;NaN;NaN;7.204074688;9.360533291;0.840076784;0.896166954
Sweep;1;4;400;0.043931607;NaN;0.14997962;0.290254898;0.580509797;11.5481778;15.48373597;0.934567587;0.972488709
Sweep;1;4;500;0.081496786;0.107459933;0.21387399;0.343461405;0.686922811;4.860703743;9.618360437;0.753843709;0.901562659
Sweep;1;4;630;NaN;0.112116458;0.209535578;0.311925952;0.623851903;7.061123835;11.19504108;0.835604987;0.929416035
Sweep;1;4;800;NaN;NaN;0.186670072;0.333090019;0.666180038;2.764468494;9.350108179;0.653971446;0.895943373
Sweep;1;4;1000;0.106968538;0.103360081;0.224169244;0.328197471;0.656394942;0.997784945;6.096609608;0.557185797;0.802785604
Sweep;1;4;1250;0.091751518;0.101071907;0.209880878;0.346896509;0.693793017;5.156261758;8.323806144;0.766253014;0.87176185
Sweep;1;4;1600;0.085283203;0.082822382;0.20262236;0.322159495;0.64431899;4.247895595;8.842437179;0.726733854;0.884530074
Sweep;1;4;2000;0.105042096;0.103223168;0.219514892;NaN;0.658544677;4.233245047;6.840436539;0.72606341;0.828504994
Sweep;1;4;2500;0.080398305;0.10882002;0.217091328;0.344107083;0.688214166;6.921735673;9.288098661;0.831148456;0.894604686
Sweep;1;4;3150;0.087903788;0.108562956;0.224175262;0.352432376;0.704864752;5.171049866;8.378695819;0.766862344;0.873168156
Sweep;1;4;4000;0.079702323;0.10815439;0.218255009;0.339108516;0.678217032;5.494880233;9.609563893;0.779927329;0.901382757
Sweep;1;4;5000;0.083718694;0.095798862;0.194951516;0.308140853;0.616281705;5.548944439;8.998212659;0.782056592;0.888143351
Sweep;1;4;6300;0.079130826;0.092277086;0.191119314;0.291574169;0.583148337;5.031526461;9.432283818;0.761069467;0.897694246
Sweep;1;4;8000;0.067636156;0.063206126;0.150935462;0.245229101;0.490458202;6.55784463;12.03894731;0.819061137;0.941147749
Sweep;1;4;10000;0.052768451;0.062200225;0.12962352;0.215846596;0.431693192;9.078730853;14.03869078;0.889971991;0.962040181
Sweep;1;4;12500;0.042180756;0.048498769;0.113225023;NaN;0.339675069;11.2706541;17.40043797;0.930549694;0.982129975
Sweep;1;4;16000;0.040222391;0.045697314;NaN;NaN;NaN;11.76861621;17.42916317;0.937603854;0.982245689
Sweep;1;4;20000;0.039932245;NaN;NaN;NaN;NaN;11.207786;14.04226838;0.929608309;0.962070253
Sweep;1;5;50;NaN;NaN;NaN;NaN;NaN;-17.12966795;-13.32063272;0.018997795;0.044481148
