Method,Speaker,Microphone,Frequency in Hz,EDT in s,RT10 in s,RT20 in s,RT30 in s,RT60 in s,C50 in dB,C80 in dB,D50,D80
Sweep,1,3,1600,0.12492984441657,0.112571517800892,NaN,NaN,NaN,0.389732542725617,4.59338486344714,0.522419764823687,0.742244252962486
Sweep,1,3,2000,NaN,0.131257036529598,0.229138985455095,NaN,0.687416956365285,4.23239916245383,7.00184696988123,0.726024668564076,0.833721434193118
Sweep,1,3,2500,0.112605531889013,0.120934391055116,0.253337476841818,NaN,0.760012430525453,3.51094103770884,6.44394288734597,0.69177357718623,0.815141746070332
Sweep,1,3,3150,0.129601060984057,0.131179154426882,0.297208175519777,NaN,0.891624526559332,1.76700572789453,4.8523336783361,0.600336671922696,0.753485901270103
Sweep,1,3,4000,0.122216618158588,0.123977841149295,0.238998553995416,NaN,0.716995661986249,2.60112634422142,5.44384508262993,0.645411806405335,0.777903697855152
Sweep,1,3,5000,0.108302929314792,0.12073379006461,0.226031591666235,NaN,0.678094774998704,2.68421652112348,7.09393728106311,0.649778038191061,0.836640260687824
Sweep,1,3,6300,0.108686395730149,0.104273857149057,0.265003427774454,NaN,0.795010283323361,2.74404803512938,6.46448086665879,0.652906652376664,0.815853283611884
Sweep,1,3,8000,0.102302591309394,NaN,NaN,NaN,NaN,3.44418505812775,7.10137168760168,0.688486474922686,0.836874088130745
Sweep,1,3,10000,5.54645852626255,NaN,NaN,NaN,NaN,-3.14343037015315,-1.8720615817591,0.326556396609955,0.393873693203227
Sweep,1,3,12500,NaN,NaN,NaN,NaN,NaN,-15.4007422744803,-14.1879480232446,0.028027210762872,0.0367244853869995
Sweep,1,3,16000,NaN,NaN,NaN,NaN,NaN,-18.3797691444371,-16.495809894348,0.0143140214696284,0.0219176719663836
Sweep,1,3,20000,NaN,NaN,NaN,NaN,NaN,-18.7760924192116,-17.1662066137733,0.0130819311270225,0.0188416291714139
Sweep,1,4,50,4.99093833732326,NaN,NaN,NaN,NaN,-10.2496038353463,-8.78639024676317,0.0862695829936342,0.116794582757194
Sweep,1,4,63,NaN,NaN,NaN,NaN,NaN,7.4423487922959,9.90007547352923,0.847310936091552,0.907171399625237
Sweep,1,4,80,NaN,NaN,NaN,NaN,NaN,5.10035344344975,7.84049703458994,0.763939375810514,0.858797867997405
Sweep,1,4,100,NaN,NaN,NaN,NaN,NaN,2.8914207127146,5.53622665517926,0.660556292247004,0.781557055287996
Sweep,1,4,125,NaN,0.0802533165956548,NaN,NaN,NaN,-0.655758547676976,2.31899337228583,0.462323060024829,0.630408098479671
Sweep,1,4,160,NaN,NaN,NaN,NaN,NaN,3.2031311693233,5.53707062208916,0.676459484370345,0.781590230679372
Sweep,1,4,200,0.0736734668680039,NaN,NaN,NaN,NaN,5.87423834041375,10.5240743345304,0.794553287999842,0.918583710421419
Sweep,1,4,250,NaN,NaN,NaN,NaN,NaN,-0.197961999689759,9.38886657393267,0.488606363963623,0.896772454180783
Sweep,1,4,315,NaN,NaN,NaN,NaN,NaN,8.7972888456725,9.65662760420654,0.883464031888028,0.902341881088316
Sweep,1,4,400,0.102730814160239,0.107270333269761,NaN,NaN,NaN,4.84860447234771,7.59002990847037,0.753326370864819,0.851658549971309
Sweep,1,4,500,0.0980591458970241,0.100231569603698,0.194222777915238,NaN,0.582668333745715,4.4743662604684,10.0849565283779,0.736966474620819,0.910694714504455
Sweep,1,4,630,0.114512262952872,0.101626952957285,NaN,NaN,NaN,0.530262453443193,5.95553521657284,0.530486496078741,0.797592150923631
Sweep,1,4,800,0.103681591336308,0.0819737470757162,0.258825632964536,NaN,0.776476898893607,3.79499354955509,5.85229708548734,0.705541923977974,0.793727354237496
Sweep,1,4,1000,0.0910691437260874,0.0840694006216176,0.20495967654753,NaN,0.614879029642591,4.6128424793439,9.8266009931787,0.743100479523433,0.905736852048782
Sweep,1,4,1250,0.0777946994057736,0.0928385578362972,0.238128310019171,NaN,0.714384930057514,5.05017772333607,9.68113935670938,0.76184953472957,0.902838111388004
Sweep,1,4,1600,0.087759452997701,0.106312985204436,0.219691154903078,NaN,0.659073464709235,4.81003400819626,8.76801304588007,0.75167230888502,0.882768213750992
Sweep,1,4,2000,NaN,0.118532589772558,0.222644966004431,NaN,0.667934898013292,7.00295789672008,10.2037424249783,0.83375689277069,0.912894359008542
Sweep,1,4,2500,NaN,0.107058524974219,0.224417849485221,0.406330372630487,0.812660745260974,5.70773524302786,9.73949375480831,0.788224234934945,0.904010426104549
